開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
不可能	bat1 ho2 nank4	
不可旁貸	bat1 ho2 pong4 tai3	
不可收拾	bat1 ho2 saw1 sap6	
不可想像	bat1 ho2 seong2 jeong6	
不可思議	bat1 ho2 si1 yi5	
不可數	bat1 ho2 sow2	
不可同日而語	bat1 ho2 tonk4 yat6 yi4 yeu5	
不可或缺	bat1 ho2 wag6 keud3	
不可諱言	bat1 ho2 way5 yin4	
不可一世	bat1 ho2 yat1 say3	
不可逾越	bat1 ho2 yeu4 yeud6	
不可言喻	bat1 ho2 yin4 yeu6	
不學無術	bat1 hog6 mow4 sot6	
不寒而慄	bat1 hon4 yi4 lot6	
不吭聲	bat1 hong4 senk1	
不吭一聲	bat1 hong4 yat1 senk1	
不好	bat1 how2	
不即不離	bat1 jek1 bat1 ley4	
不值一顧	bat1 jek6 yat1 gu3	
不值一文	bat1 jek6 yat1 mant4	
不值一提	bat1 jek6 yat1 tay4	
不像話	bat1 jeong6 wa2	
不像樣	bat1 jeong6 yeong6	
不絕於耳	bat1 jeud6 yeu1 yi5	
不知幾	bat1 ji1 gey2	很，真，真的很
不知所云	bat1 ji1 so2 want4	
不只	bat1 ji2	
不治	bat1 ji6	
不治之症	bat1 ji6 ji1 jenk3	
不自量力	bat1 ji6 leong6 lek6	
不戰而敗	bat1 jin3 yi4 bai6	
不戰而退	bat1 jin3 yi4 toy3	
不再	bat1 joi3	
不在場	bat1 joi6 ceong4	
不在乎	bat1 joi6 fu4	
不在話下	bat1 joi6 wa2 ha6	
不在意	bat1 joi6 yi3	
不足掛齒	bat1 jok1 gua3 ci2	
不足輕重	bat1 jok1 henk1 conk5	
不足為訓	bat1 jok1 way4 fant3	
不足為奇	bat1 jok1 way4 key4	
不足為外人道	bat1 jok1 way4 ngoi6 yant4 dow6	
不足為憑	bat1 jok1 way4 pank4	
不中不西	bat1 jonk1 bat1 say1	
不進則退	bat1 jont3 jak1 toy3	
筆嘴	bat1 joy2	筆尖兒，鋼筆尖兒
不及	bat1 kap6	
不及格	bat1 kap6 gag3	
不及物動詞	bat1 kap6 mat6 donk6 ci4	
不亢不卑	bat1 kong3 bat1 bey1	
不愧	bat1 kuay5	
抔垃圾	bat1 lab6 sab3	撮垃圾
不冷不熱	bat1 lang5 bat1 yid6	
不溜	bat1 law1	一向，一直，向來，經常
不理不睬	bat1 ley5 bat1 coi2	
不利	bat1 ley6	
不了了之	bat1 liu5 liu5 ji1	
不倫不類	bat1 lont4 bat1 loy6	
不論	bat1 lont6	
不吝賜教	bat1 lont6 ci3 gau3	
不論怎麼	bat1 lont6 jamp2 mo1	
不論怎樣	bat1 lont6 jamp2 yeong6	
不吝指正	bat1 lont6 ji2 jenk3	
不論如何	bat1 lont6 yeu4 ho4	
不勞而獲	bat1 low4 yi4 wog6	
篳路藍縷	bat1 low6 lam4 loy5	
筆墨	bat1 mak6	
不問	bat1 mant6	
不問青紅皂白	bat1 mant6 cenk1 honk4 jow6 bag6	
不問前因後果	bat1 mant6 cin4 yant1 haw6 guo2	
不問是非曲直	bat1 mant6 si6 fey1 kok1 jek6	
不謀而合	bat1 maw5 yi4 hab6	
不明不白	bat1 menk4 bat1 bag6	
畢命	bat1 menk6	
不寐	bat1 mey6	
不免	bat1 min5	
不無	bat1 mow4	
不無可疑	bat1 mow4 ho2 yi4	
不無可疑之處	bat1 mow4 ho2 yi4 ji1 ceu3	
筆帽	bat1 mow6	
不務正業	bat1 mow6 jenk3 yib6	
不外乎	bat1 ngoi6 fu4	
不奈煩	bat1 noi6 fan4	
不安本分	bat1 on1 bun2 fant1	
筆刨	bat1 pau2	鉛筆刀，轉筆刀，削鉛筆器
不平等條約	bat1 penk4 dank2 tiu4 yeog3	
不平則鳴	bat1 penk4 jak1 menk4	
不平而鳴	bat1 penk4 yi4 menk4	
不偏不倚	bat1 pin1 bat1 yi2	
不三不四	bat1 sam1 bat1 sey3	
畢生	bat1 sank1	
不慎	bat1 sant6	
不失	bat1 sat1	
不失眾望	bat1 sat1 jonk3 mong6	
不失良機	bat1 sat1 leong4 gey1	
不失為	bat1 sat1 way4	
不實	bat1 sat6	
不修邊幅	bat1 saw1 bin1 fok1	
不守信用	bat1 saw2 sont3 yonk6	
不鏽鋼	bat1 saw3 gong3	
不受歡迎	bat1 saw6 fun1 yenk4	
不息	bat1 sek1	
不惜	bat1 sek1	
不適	bat1 sek1	
不惜犧牲	bat1 sek1 hey1 sang1	
不惜一切	bat1 sek1 yat1 cay3	
不惜一戰	bat1 sek1 yat1 jin3	
不食人間煙火	bat1 sek6 yant4 gan1 yin1 fo2	
不升反降	bat1 senk1 fan2 gong3	
不勝負荷	bat1 senk1 fu3 ho6	
不勝感激	bat1 senk1 gamp2 gek1	
不勝酒力	bat1 senk1 jaw2 lek6	
不勝其煩	bat1 senk1 key4 fan4	
不勝枚舉	bat1 senk1 mui4 goy2	
不成體統	bat1 senk4 tay2 tonk2	
不傷和氣	bat1 seong1 wo4 hey3	
不宣而戰	bat1 seun1 yi4 jin3	
不時	bat1 si4	不定時地，每時每刻，無時無刻，時時刻刻
不屑	bat1 sid3	
不屑一顧	bat1 sid3 yat1 gu3	
不善	bat1 sin6	
不善於	bat1 sin6 yeu1	
不遜	bat1 sont3	
[抔]水	bat1 soy2	舀水
筆塔	bat1 tab3	筆帽，筆套
不透明	bat1 taw3 menk4	
不停	bat1 tenk4	
不妥	bat1 to2	
[抔]湯	bat1 tong1	舀湯
不同點	bat1 tonk4 dim2	
不同凡響	bat1 tonk4 fan4 heong2	
不同以往	bat1 tonk4 yi5 wong5	
不吐不快	bat1 tow3 bat1 fai3	
筆畫	bat1 wa2	
不惑之年	bat1 wag6 ji1 nin4	
不懷好意	bat1 wai4 how2 yi3	
不屈不撓	bat1 wat1 bat1 nau4	
不遺餘力	bat1 way4 yeu4 lek6	
不和	bat1 wo4	
不遑	bat1 wong4	
不忍	bat1 yant2	
不忍卒睹	bat1 yant2 jot1 dow2	
不忍心	bat1 yant2 samp1	
不孕	bat1 yant6	
不孕症	bat1 yant6 jenk3	
不入虎穴	bat1 yap6 fu2 yeud6	
筆友	bat1 yaw5	
不夜城	bat1 ye6 senk4	
不亦樂乎	bat1 yek6 log6 fu4	
不翼而飛	bat1 yek6 yi4 fey1	
不如	bat1 yeu4	
不如下次先啦	bat1 yeu4 ha6 ci3 sin1 la1	下次吧
不予置評	bat1 yeu5 ji3 penk4	
不悅	bat1 yeud6	
不遠千里	bat1 yeun5 cin1 ley5	
不遠千里而來	bat1 yeun5 cin1 ley5 yi4 loi4	
不宜	bat1 yi4	
不宜	bat1 yi4	不如
不以為苦	bat1 yi5 way4 fu2	
不以為然	bat1 yi5 way4 yin4	
不以語人	bat1 yi5 yeu6 yant4	
不二法門	bat1 yi6 fad3 mun4	
不二價	bat1 yi6 ga3	
不義之財	bat1 yi6 ji1 coi4	
畢業	bat1 yib6	
畢業典禮	bat1 yib6 din2 lay5	
畢業生	bat1 yib6 sang1	
畢業相	bat1 yib6 seong2	畢業照
不厭其詳	bat1 yim3 key4 ceong4	
不厭其煩	bat1 yim3 key4 fan4	
不然	bat1 yin4	
不言而喻	bat1 yin4 yi4 yeu6	
不容	bat1 yonk4	
不容分說	bat1 yonk4 fant1 seud3	
不容置辯	bat1 yonk4 ji3 bin6	
不容置疑	bat1 yonk4 ji3 yi4	
拔出	bat6 cot1	
拔草	bat6 cow2	
拔除	bat6 coy4	
拔地而起	bat6 dey6 yi4 hey2	
拔刀	bat6 dow1	
拔刀相助	bat6 dow1 seong1 jo6	
拔腳	bat6 geog3	
拔腿就跑	bat6 geog3 jaw6 pau2	
拔劍	bat6 gim3	
拔河	bat6 ho4	
拔河比賽	bat6 ho4 bey2 coi3	
拔擢	bat6 jog6	
拔群	bat6 kuant4	
拔苗助長	bat6 miu4 jo6 jeong2	
拔毛	bat6 mow4	
拔錨	bat6 nau4	
拔牙	bat6 nga4	
拔身	bat6 sant1	
跋涉	bat6 sib3	
拔腿	bat6 toy2	
跋扈	bat6 wu6	
包	bau1	保證
褒貶	bau1 bin2	
包袱	bau1 fok6	
包裹	bau1 guo2	
包含	bau1 hamp4	
包裝	bau1 jong1	
包粽	bau1 jonk2	包粽子
包租	bau1 jow1	租房又分租給他人
包租公	bau1 jow1 gonk1	二房東
包租婆	bau1 jow1 po2	二房東太太，二房東，女二房東
包括	bau1 kud3	
包廂	bau1 seong1	
鮑魚	bau1 yeu4	
包二奶	bau1 yi6 nai1	有情婦，養小老婆
包容	bau1 yonk4	
飽擦一輪	bau2 cad3 yat1 lont4	飽吃一頓
飽餐	bau2 can1	
飽嗝	bau2 gag3	
飽經	bau2 genk1	
飽經滄桑	bau2 genk1 cong1 song1	
飽經風霜	bau2 genk1 fonk1 seong1	
飽經世故	bau2 genk1 say3 gu3	
飽含	bau2 hamp4	
飽學	bau2 hog6	
飽學之士	bau2 hog6 ji1 si6	
飽滿	bau2 mun5	
飽暖	bau2 neun5	
飽暖思淫慾	bau2 neun5 si1 yamp4 yok6	
飽受	bau2 saw6	
飽食	bau2 sek6	
飽食終日	bau2 sek6 jonk1 yat6	
飽嚐	bau2 seong4	
飽死	bau2 sey2	臭美
飽死我啦！	bau2 sey2 ngo5 la3	飽到要爆炸
飽和	bau2 wo4	
飽和點	bau2 wo4 dim2	
飽和度	bau2 wo4 dow6	
飽和狀態	bau2 wo4 jong6 tai3	
爆	bau3	炸，破裂
爆煲	bau3 bow1	露餡兒，暴露
爆坼	bau3 cag3	皮膚皴裂
爆粗口	bau3 cow1 haw2	說粗話
爆發	bau3 fad3	
爆火	bau3 fo2	發脾氣
爆穀	bau3 gok1	爆米花，玉米花兒
爆炸	bau3 ja3	
爆樽	bau3 jont1	砸瓶
爆棚	bau3 pang4	賣座
爆肽	bau3 tai1	破輪胎
鮑魚	bau6 yeu4	
跛	bay1	瘸
跛腳	bay1 geog3	瘸腳
跛腳佬	bay1 geog3 low2	瘸子，跛子
跛手	bay1 saw2	瘸胳膊
贔屭	bay3 ay3	
閉關自守	bay3 guan1	
閉關	bay3 guan1	
閉路	bay3 low6	
閉路電視	bay3 low6 din6 si6	
閉幕	bay3 mog6	
閉幕典禮	bay3 mog6 din2 lay5	
閉幕式	bay3 mog6 sek1	
閉目	bay3 mok6	
閉目養神	bay3 mok6 yeong5 sant4	
閉門	bay3 mun4	
閉門謝客	bay3 mun4 je6 hag3	
閉門造車	bay3 mun4 jow6 ce1	
閉眼	bay3 ngan5	
閉翳	bay3 ngay3	憂愁，愁悶，發愁，心情抑郁
閉塞	bay3 sak1	
閉會	bay3 wui6	
閉月羞花	bay3 yeud6 saw1 fa1	
弊	bay6	糟，壞
弊傢伙	bay6 ga1 fo2	糟糕
陛下	bay6 ha6	
弊喇	bay6 la3	糟了，完了，壞了，糟糕
敝履	bay6 ley5	
狴犴	bay6 ngon6	
弊案	bay6 on3	
敝人	bay6 yant4	
啤酒	be1 jaw2	
啤酒肚	be1 jaw2 tow5	大肚子
啤令	be1 lenk2	滾珠軸承軸承
啤梨	be1 ley2	洋梨，西洋梨，澳洲梨
逼	bek1	擠，擁擠
逼巴士	bek1 ba1 si2	擠公車，擠公共汽車
逼迫	bek1 bag1	
壁櫥	bek1 coy4	
逼到鬼噉	bek1 dow3 guay2 gamp2	擠得要命
逼到埋身	bek1 dow3 mai4 sant1	事情迫到頭上來
壁虎	bek1 fu2	
逼供	bek1 gonk1	
逼過嚟	bek1 guo3 ley4	擠過來
逼冚晒	bek1 hamp6 sai3	擠得緊緊的
碧血	bek1 heud3	
碧海	bek1 hoi2	
壁紙	bek1 ji2	
逼嚟逼去	bek1 ley4 bek1 hoy3	擠來擠去
碧綠	bek1 lok6	
碧綠色	bek1 lok6 sek1	
壁爐	bek1 low4	
碧眼	bek1 ngan5	
逼上梁山	bek1 seong5 leong4 san1	
壁畫	bek1 wa2	
逼人	bek1 yant4	擁擠
逼入去	bek1 yap6 hoy3	擠進去
碧玉	bek1 yok6	
餅乾	beng2 gon1	蘇打餅
餅乾	beng2 gon1	
餅乾店	beng2 gon1 dim3	
餅乾盒	beng2 gon1 hab6	
餅仔	beng2 jay2	餅乾
餅咭	beng2 kat1	餅券
餅師	beng2 si1	麵包師傅
餅屑	beng2 sid3	
餅印	beng2 yant3	餅模子
柄	beng3	藏，收藏
病毒	beng6 dok6	
病到聲沙	beng6 dow3 seng1 sa1	病得聲音沙啞了
病君	beng6 guant1	老病號，病夫
病咗	beng6 jo2	生病，病了，生病了
病例	beng6 lay6	
病歷	beng6 lek6	
病人	beng6 yant4	
病癒	beng6 yeu6	
病源	beng6 yeun4	
病懨懨	beng6 yim1 yim1	
乒乓波	benk1 bamp1 bo1	乒乓球
兵不血刃	benk1 bat1 heud3 yant6	
兵不厭詐	benk1 bat1 yim3 ja3	
兵變	benk1 bin3	
冰雹	benk1 bog6	
冰凍	benk1 donk3	
兵法	benk1 fad3	
兵荒馬亂	benk1 fong1 ma5 leun6	
兵家	benk1 ga1	
兵家必爭之地	benk1 ga1 bid1 jank1 ji1 dey6	
兵家大忌	benk1 ga1 dai6 gey6	
兵貴神速	benk1 guay3 sant4 cok1	
兵器	benk1 hey3	
兵卒	benk1 jot1	
兵臨城下	benk1 lamp4 senk4 ha6	
兵力	benk1 lek6	
兵馬俑	benk1 ma5 yonk2	
冰山	benk1 san1	
冰室	benk1 sat1	冷飲店
冰上表演	benk1 seong6 biu2 yin2	
冰上運動	benk1 seong6 want6 donk6	
兵士	benk1 si6	
兵事	benk1 si6	
冰糖	benk1 tong4	
兵刃	benk1 yant6	
兵役	benk1 yek6	
兵役法	benk1 yek6 fad6	
兵營	benk1 yenk4	
兵戎	benk1 yonk4	
抦	benk2	打，揍，毆打
秉持	benk2 ci4	
丙等	benk2 dank2	
屏氣	benk2 hey3	
屏氣凝神	benk2 hey3 yenk4 sant4	
秉燭夜遊	benk2 jok1 ye6 yaw4	
丙級	benk2 kap1	
屏息	benk2 sek1	
屏息以待	benk2 sek1 yi5 doi3	
秉性	benk2 senk3	
秉承	benk2 senk4	
丙酮	benk2 tonk4	
併發症	benk3 fad3 jenk3	
病變	benk6 bin3	
並且	benk6 ce2	
並存	benk6 ceun4	
並非	benk6 fey1	
並肩	benk6 gin1	
並肩作戰	benk6 gin1 jog3 jin3	
並肩而行	benk6 gin1 yi4 hank4	
病理學	benk6 ley5 hog6	
並列	benk6 lid6	
並列譯文	benk6 lid6 yek6 mant4	
並未	benk6 mey6	
病魔	benk6 mo1	
病魔纏身	benk6 mo1 cin4 sant1	
並無	benk6 mow4	
並無不可	benk6 mow4 bat1 ho2	
病歿	benk6 mud6	
並排	benk6 pai4	
病逝	benk6 say6	
病體	benk6 tay2	
並用	benk6 yonk6	
悲慘	bey1 cam2	
悲慟	bey1 donk6	
悲憤填膺	bey1 fant5 tin4 yenk1	
悲觀	bey1 gun1	
卑職	bey1 jek1	
卑賤	bey1 jin6	
卑俗	bey1 jok6	
悲劇	bey1 keg6	
卑劣	bey1 leud3	
卑劣性	bey1 leud3 senk3	
碑文	bey1 mant4	
卑微	bey1 mey4	
悲哀	bey1 oi1	
卑鄙	bey1 pey2	
卑鄙無恥	bey1 pey2 mow4 ci2	
裨益	bey1 yek1	
畀	bey2	給
髀	bey2	腿，大腿
畀	bey2	被，受，讓
畀差人拉	bey2 cai1 yant4 lai1	被警察逮捕
彼此	bey2 ci2	
畀錢	bey2 cin2	付錢，給錢
畀錢我	bey2 cin2 ngo5	給我錢
比賽	bey2 coi3	
畀翻	bey2 fan1	還給
畀翻錢	bey2 fan1 cin2	還錢
比分	bey2 fant1	
畀非士	bey2 fey1 si2	給面子
比方	bey2 fong1	
比較	bey2 gau3	
比堅尼	bey2 gin1 ney4	比基尼，比基尼泳衣
畀過	bey2 guo3	交給
畀考起	bey2 hau2 hey2	被考倒
畀利是	bey2 lay6 si6	給紅包
比率	bey2 lot6	
比唔上	bey2 m4 seong6	比不上
畀問起	bey2 mant6 hey2	被問倒
畀面	bey2 min2	賞臉，給面子
畀面色佢睇	bey2 min6 sek1 koy5 tay2	給臉色他看
畀鬧到死死吓	bey2 nau6 dow3 sey2 sey2 ha2	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一戙都冇	bey2 nau6 dow3 yat1 donk6 dow1 mow5	被罵得一錢不值，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一隻屐	bey2 nau6 dow3 yat1 jeg3 keg6	被罵得垂頭喪氣，被罵得狗血淋頭，捱一頓臭罵
畀鬧到一面屁	bey2 nau6 dow3 yat1 min6 pey3	被罵得滿臉羞慚，被罵得無地自容，被罵得狗血淋頭
畀銀紙	bey2 ngant4 ji2	給錢
彼岸	bey2 ngon6	
畀心機	bey2 samp1 gey1	用心，下功夫，努力
畀心機做	bey2 samp1 gey1 jow6	努力做
匕首	bey2 saw2	
畀錫壞咗	bey2 seg3 wai6 jo2	被慣壞了，給人慣壞了
畀雪藏	bey2 seud3 cong4	被打入冷宮，暫時閒置
畀水沉死	bey2 soy2 jamp6 sey2	被水淹死
畀水濁親	bey2 soy2 jok6 cant1	給水嗆了
畀…睇	bey2 tay2	給…看
畀貼士	bey2 tib1 si2	給小費
畀人唱衰	bey2 yant4 ceong3 soy1	被別人詆毀，被別人戳脊梁骨
畀人棍咗	bey2 yant4 guant3 jo2	給人騙了，被人騙了，被騙
畀人蝦	bey2 yant4 ha1	軟弱，給別人欺負
畀人恰	bey2 yant4 hab1	讓別人欺負了
畀人箍頸	bey2 yant4 ku1 geng2	被人搶劫
畀人鬧	bey2 yant4 nau6	捱罵，被罵，讓人罵
畀人呃	bey2 yant4 ngag1	受騙，被騙
畀人拼沉	bey2 yant4 peng1 camp4	被打敗，給人打輸
畀人識穿	bey2 yant4 sek1 ceun1	讓人識破
畀人玩死	bey2 yant4 wan2 sey2	被人害苦
比喻	bey2 yeu6	
痺	bey3	麻，麻痺，麻木
痺到死	bey3 dow3 sey2	肉麻死了，肉麻得要命
秘笈	bey3 kap1	
秘訣	bey3 keud3	
秘撈	bey3 low1	搞外快，賺取外快，業餘兼職
秘密	bey3 mat6	
泌尿	bey3 niu6	
秘書	bey3 seu1	
庇護	bey3 wu6	
避	bey6	躲
被迫	bey6 bag1	
被捕	bey6 bow6	
鼻竇炎	bey6 daw6 yim4	
被動	bey6 donk6	
備份	bey6 fant6	
備課	bey6 fo3	
避風塘	bey6 fonk1 tong4	避風港
鼻哥	bey6 go1	鼻子
鼻哥窿 	bey6 go1 lonk1	鼻孔
被告	bey6 gow3	
鼻血	bey6 heud3	
避開	bey6 hoi1	
被害	bey6 hoi6	
被害人	bey6 hoi6 yant4	
鼻腔	bey6 hong1	
被控	bey6 honk3	
備註	bey6 jeu3	
備戰	bey6 jin3	
鼻祖	bey6 jow2	
被困	bey6 kuant3	
鼻梁	bey6 leong4	
避唔切	bey6 m4 cid3	來不及躲開
避免	bey6 min5	
備忘錄	bey6 mong4 lok6	
備案	bey6 on3	
鼻塞	bey6 sak1	
備受	bey6 saw6	
鼻息	bey6 sek1	
鼻水	bey6 soy2	
鼻涕	bey6 tay3	
鼻涕蟲	bey6 tay3 conk4	
備胎	bey6 toi1	
鼻音	bey6 yamp1	
備而不用	bey6 yi4 bat1 yonk6	
鼻炎	bey6 yim4	
鼻煙	bey6 yin1	
鼻煙盒	bey6 yin1 hab6	
鼻咽癌	bey6 yin1 ngam4	
備用	bey6 yonk6	
備用品	bey6 yonk6 bant2	
BB機	bi1 bi1 gey1	呼叫機，BB機
啤啤	bi4 bi1	小孩，嬰兒，嬰孩，小孩兒
啤啤車	bi4 bi1 ce1	嬰兒車
啤啤仔	bi4 bi1 jay2	小嬰兒，小男孩，男嬰兒，小小子
啤啤女	bi4 bi1 noy2	女嬰兒，小女孩，小丫頭
咇	bid1	吱
咇出嚟	bid1 cot1 ley4	吱出來
觱篥	bid1 lot6	
必需	bid1 soy1	
必須	bid1 soy1	
必需品	bid1 soy1 bant2	
必要	bid1 yiu3	
鱉甲	bid3 gab3	
憋氣	bid3 hey3	
憋悶	bid3 mun6	
彆扭	bid3 naw2	
鱉魚	bid3 yeu4	
別的	bid6 dek1	
蹩腳	bid6 geog3	
別針	bid6 jamp1	
癟三	bid6 sam1	
別墅	bid6 soy6	
鞭	bin1	鞭子
邊	bin1	哪，哪裡
鞭笞	bin1 ci1	
邊塞	bin1 coi3	
邊度	bin1 dow6	哪裡
邊防	bin1 fong4	
邊防要塞	bin1 fong4 yiu3 coi3	
邊界	bin1 gai3	
邊界線	bin1 gai3 sin3	
邊境	bin1 genk2	
邊疆	bin1 geong1	
邊個	bin1 go3	誰，哪一個
邊個噶	bin1 go3 ga3	誰的？
邊個嘅	bin1 go3 ge3	誰的
辮仔	bin1 jay2	辮子
邊際	bin1 jay3	
邊種	bin1 jonk2	哪種
鞭炮	bin1 pau3	
邊處	bin1 seu3	哪裡
邊處係呢	bin1 seu3 hay6 le3	哪裡哪裡
鞭撻	bin1 tad3	
邊一年	bin1 yat1 nin4	哪一年
邊日	bin1 yat6	哪一天
邊有咁大隻蛤乸隨街跳	bin1 yaw5 gamp3 dai6 jeg3 gap1 na2 coy4 gai1 tiu3	天上不會掉餡兒餅，沒有那麼便宜的事
邊緣	bin1 yeun4	
扁豆	bin2 daw6	
貶低	bin2 day1	
匾額	bin2 ngag6	
扁平	bin2 penk4	
扁圓	bin2 yeun4	
變壓器	bin3 ad3 hey3	
變遷	bin3 cin1	
變調	bin3 diu6	
變化	bin3 fa3	
變化多端	bin3 fa3 do1 deun1	
變色龍	bin3 sek1 lonk4	
變成	bin3 senk4	
變態	bin3 tai3	
便	bin6	面，邊
辨别	bin6 bid6	
辨別	bin6 bid6	
便當	bin6 dong3	
便服	bin6 fok6	
辯方	bin6 fong1	
變更	bin6 gank1	
便捷	bin6 jid6	
便利	bin6 ley6	
便利商店	bin6 ley6 seong1 dim3	
辯論	bin6 lont6	
便溺	bin6 niu6	
辯護	bin6 wu6	
辨認	bin6 yenk6	
錶	biu1	手錶
標本	biu1 bun2	
飆車	biu1 ce1	
標青	biu1 ceng1	貌美出眾，拔尖兒，超群
標簽	biu1 cim1	
錶廠	biu1 cong2	
錶帶	biu1 dai3	
錶店	biu1 dim3	
飆風	biu1 fonk1	
鏢局	biu1 gok6	
錶殼	biu1 hog3	
標汗	biu1 hon6	出汗，流汗，冒汗
標準	biu1 jont2	
標準化	biu1 jont2 fa3	
錶鏈	biu1 lin4	
錶面	biu1 min6	
標參	biu1 samp1	綁架，綁票
飆升	biu1 senk1	
標題	biu1 tay4	
彪形大漢	biu1 yenk4 dai6 hon3	
標語	biu1 yeu5	
錶肉	biu1 yok6	錶瓤，錶芯
表情	biu2 cenk4	
表錯情	biu2 co3 cenk4	弄錯，誤解，誤會
表達	biu2 dad6	
表決	biu2 keud3	
表決權	biu2 keud3 keun4	
表面	biu2 min6	
表示	biu2 si6	
表揚	biu2 yeong4	
表演	biu2 yin2	
表現	biu2 yin6	
波	bo1	球
波	bo1	排檔，檔
波	bo1	奶，乳房
波板	bo1 ban2	球拍，球拍子，乒乓球拍
波缽	bo1 bud3	球鞋，運動鞋
波場	bo1 ceong4	球場
菠菜	bo1 coi3	
波飛	bo1 fey1	球票，球賽的票
波褲	bo1 fu3	球褲，運動褲
波鞋	bo1 hai4	球鞋，運動鞋
波珠	bo1 jeu1	滾珠，彈球，玻璃球
波子	bo1 ji2	玻璃球，彈球，滾珠
波子棋	bo1 ji2 key4	跳棋
波罅	bo1 la3	乳溝
波瀾	bo1 lan4	
玻璃	bo1 ley1	
玻璃杯	bo1 ley1 bui1	
玻璃窗	bo1 ley1 ceong1	
玻璃纖維	bo1 ley1 cim1 way4	
玻璃樽	bo1 ley1 jont1	玻璃瓶
玻璃試管	bo1 ley1 si3 gun2	
菠蘿	bo1 lo4	鳳梨
菠蘿包	bo1 lo4 bau1	波羅包
菠蘿蓋	bo1 lo4 goi3	膝蓋骨
菠蘿油	bo1 lo4 yaw4	波羅包加牛油
波浪	bo1 long6	
波路	bo1 low6	底細，情況，來頭
波帽	bo1 mow2	鴨舌帽
波衫	bo1 sam1	球衣，運動衣
波士	bo1 si2	老闆，總經理，大老闆，上司
波恤	bo1 sot1	球衣，絨衣，運動衣，衛生衣，長袖運動服
波濤	bo1 tow4	
噃	bo3	喔，呢
播出	bo3 cot1	
播放	bo3 fong3	
簸箕	bo3 gey1	
播映	bo3 yenk2	
犦	bog1	敲，打，敲打
犦犦齋	bog1 bog1 jai1	私塾
犦親	bog1 cant1	砸傷，打傷
犦落去	bog1 log6 hoy3	砸下去，打下去
犦落嚟	bog1 log6 ley4	砸下來，打下來
犦濕	bog1 sap1	揍扁，狠揍，揍癟，毆傷，狠揍一頓
撲嘢	bog1 ye5	性交，做愛
壆	bog3	壠，土埂，堤壩
搏	bog3	拼，拼搏，拼命，冒險
膊	bog3	肩
駁斥	bog3 cek1	
搏彩	bog3 coi2	碰運氣
搏出位	bog3 cot1 way2	爭著出人頭地，標新立異
博取	bog3 coy2	
博大	bog3 dai6	
搏大膽	bog3 dai6 dam2	賭膽量，賭膽識，賭一下膽識
博大精深	bog3 dai6 jenk1 samp1	
博得	bog3 dak1	
搏鬥	bog3 daw3	
搏到盡	bog3 dow3 jont6	盡全力，拼搏到底，竭盡全力，拼盡全力，傾盡全力
搏拊	bog3 fu2	
搏擊	bog3 gek1	
駁腳	bog3 geog3	經紀
博古通今	bog3 gu2 tonk1 gamp1	
駁骨	bog3 guat1	接骨
搏吓彩	bog3 ha5 coi2	碰碰運氣，賭一賭運氣
博客	bog3 hag3	
博學	bog3 hog6	
博學多聞	bog3 hog6 do1 mant4	
博學多能	bog3 hog6 do1 nank4	
搏盡	bog3 jont6	盡全力，竭盡全力拼搏
駁嘴	bog3 joy2	頂嘴
博覽會	bog3 lam5 wui2	
搏亂	bog3 leun6	鑽空子，混水摸魚，趁火打劫，乘機撈一把
搏老命	bog3 low5 meng6	拼命，賣命，拼老命
博聞	bog3 mant4	
博聞強記	bog3 mant4 keong4 gey3	
博物院	bog3 mat6	
博物館	bog3 mat6 gun2	
搏命	bog3 meng6	拼命
搏命噉走	bog3 meng6 gamp2 jaw2	拼命地跑
搏懵	bog3 monk2	揩油
博雅	bog3 nga5	
博鰲論壇	bog3 ngow4 lont6 tan4	
博愛	bog3 oi3	
搏晒老命	bog3 sai3 low5 meng6	拼上老命，拼了老命，竭盡全力
搏晒老命噉	bog3 sai3 low5 meng6 gamp2	拼命地，竭力地，竭盡全力
搏晒命	bog3 sai3 meng6	賣命，拼命，拼老命
搏手	bog3 saw2	交手打架
博施濟眾	bog3 si1 jay3 jonk3	
博士	bog3 si6	
博士班	bog3 si6 ban1	
博士後	bog3 si6 haw6	
博士學位	bog3 si6 hog6 way6	
駁線	bog3 sin3	接線
搏傻	bog3 so4	裝瘋扮傻，假裝糊塗
膊頭	bog3 taw4	肩膀
駁回	bog3 wui4	
搏一鋪	bog3 yat1 pow1	試一下運氣如何
博奕	bog3 yek6	
博弈	bog3 yek6	
薄餅	bog6 beng2	
薄罉	bog6 cang1	糯米麵烙餅，薄餅，烙餅
薄荷	bog6 ho4	
薄荷腦	bog6 ho4 now5	
薄荷糖	bog6 ho4 tong4	
薄荷油	bog6 ho4 yaw4	
薄利多銷	bog6 ley6 do1 siu1	
舶來品	bog6 loi4 bant2	
薄弱	bog6 yeog6	
book	bok1	預訂
book機票	bok1 gey1 piu3	訂機票
卜卦	bok1 gua3	
book酒店	bok1 jaw2 dim3	訂酒店
