開放粵語詞典（粵語拼音字數字調號版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本詞典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［粵語詞彙］	［粵語拼音］	［國語解釋］
品嚐	bant2 seong4	
品頭論足	bant2 taw4 lont6 jok1	
品位	bant2 way6	
鬢邊	bant3 bin1	
鬢髮	bant3 fad3	
鬢髮皆白	bant3 fad3 gai1 bag6	
鬢髮皓然	bant3 fad3 how6 yin4	
鬢角	bant3 gog3	
擯棄	bant3 hey3	
殯殮	bant3 lim5	
鬢霜	bant3 seong1	
殯儀館	bant3 yi4 gun2	
笨豬跳	bant6 jeu1 tiu3	蹦極跳，高空彈跳
笨拙	bant6 jeud3	
[抔]	bat1	舀，盛
不諳	bat1 amp1	
不卑不亢	bat1 bey1 bat1 kong3	
不必	bat1 bid1	
不便	bat1 bin6	
不辯菽麥	bat1 bin6 sok6 mak6	
不吵不鬧	bat1 cau2 bat1 nau6	
不請自來	bat1 cenk2 ji6 loi4	
不詳	bat1 ceong4	
不恥	bat1 ci2	
不恥下問	bat1 ci2 ha6 mant6	
不切實際	bat1 cid3 sat6 jay3	
不切題	bat1 cid3 tay4	
不前不後	bat1 cin4 bat1 haw6	
不速之客	bat1 cok1 ji1 hag3	
不出所料	bat1 cot1 so2 liu6	
不打不相識	bat1 da2 bat1 seong1 sek1	
不打自招	bat1 da2 ji6 jiu1	
不大不小	bat1 dai6 bat1 siu2	
不得	bat1 dak1	
不得不	bat1 dak1 bat1	
不得好死	bat1 dak1 how2 sey2	
不得其法	bat1 dak1 key4 fad3	
不得其解	bat1 dak1 key4 gai2	
不得了	bat1 dak1 liu5	
不得人心	bat1 dak1 yant4 samp1	
不得而知	bat1 dak1 yi4 ji1	
不得已	bat1 dak1 yi5	
不得要領	bat1 dak1 yiu3 lenk5	
不特	bat1 dak6	不但，不僅，不光
不單	bat1 dan1	
不定	bat1 denk6	
不定詞	bat1 denk6 ci4	
不定根	bat1 denk6 gant1	
不定冠詞	bat1 denk6 gun3 ci4	
不定期	bat1 denk6 key4	
不定量	bat1 denk6 leong6	
不定形	bat1 denk6 yenk4	
不當	bat1 dong3	
不凍港	bat1 donk3 gong2	
