开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
逞凶	cenk2 honk1	
请求	cenk2 kaw4	
逞强	cenk2 keong4	
逞能	cenk2 nank4	
逞匹夫之勇	cenk2 pat1 fu1 ji1 yonk5	
逞威	cenk2 way1	
逞一时之快	cenk2 yat1 si4 ji1 fai3	
逞勇	cenk2 yonk5	
掅	cenk3	提，拎，抽起
秤	cenk3	磅秤
掅起	cenk3 hey2	提起，拎起
掅起身	cenk3 hey2 sant1	提起来
称职	cenk3 jek1	
掅住	cenk3 jeu6	提着
掅住一袋嘢	cenk3 jeu6 yat1 doi6 ye5	提着一袋东西
称心	cenk3 samp1	
称心如意	cenk3 samp1 yeu4 yi3	
埕	cenk4	坛子
惩办	cenk4 ban6	
情不自禁	cenk4 bat1 ji6 gamp1	
情报	cenk4 bow3	
呈报	cenk4 bow3	
情报局	cenk4 bow3 gok6	
情报员	cenk4 bow3 yeun4	
澄清	cenk4 cenk1	
情场	cenk4 ceong4	
惩处	cenk4 ceu5	
情操	cenk4 cow1	
情趣	cenk4 coy3	
情窦初开	cenk4 daw6 co1 hoi1	
情敌	cenk4 dek6	
情调	cenk4 diu6	
程度	cenk4 dow6	
惩罚	cenk4 fat6	
情况	cenk4 fong3	
情夫	cenk4 fu1	
情妇	cenk4 fu5	
惩戒	cenk4 gai3	
情感	cenk4 gamp2	
情急	cenk4 gap1	
情急之下	cenk4 gap1 ji1 ha6	
情急智生	cenk4 gap1 ji3 sank1	
情境	cenk4 genk2	
情景	cenk4 genk2	
情结	cenk4 gid3	
情歌	cenk4 go1	
呈献	cenk4 hin3	
情至意尽	cenk4 ji3 yi3 jont6	
惩治	cenk4 ji6	
情节	cenk4 jid3	
程序	cenk4 joy6	
情郎	cenk4 long4	
晴朗	cenk4 long5	
情侣	cenk4 loy5	
情面	cenk4 min6	
惩恶劝善	cenk4 og3 heun3 sin6	
情爱	cenk4 oi3	
情势	cenk4 say3	
情色	cenk4 sek1	
情商	cenk4 seong1	
呈上	cenk4 seong6	
情书	cenk4 seu1	
情诗	cenk4 si1	
情事	cenk4 si6	
情愫	cenk4 sow3	
情绪	cenk4 soy5	
情绪化	cenk4 soy5 fa3	
情投意合	cenk4 taw4 yi3 hab6	
晴天	cenk4 tin1	
情同手足	cenk4 tonk4 saw2 jok1	
情怀	cenk4 wai4	
情人	cenk4 yant4	
情人节	cenk4 yant4 jid3	
情人眼里出西施	cenk4 yant4 ngan5 loy5 cot1 say1 si1	
惩一儆百	cenk4 yat1 genk2 bag3	
情有独钟	cenk4 yaw5 dok6 jonk1	
情形	cenk4 yenk4	
情愿	cenk4 yeun2	宁可
情愿	cenk4 yeun6	
情意	cenk4 yi3	
情谊	cenk4 yi4	
呈现	cenk4 yin6	
情欲	cenk4 yok6	
灼	ceog3	涮，汆
戳穿	ceog3 ceun1	
戳记	ceog3 gey3	
绰号	ceog3 how6	
卓绝	ceog3 jeud6	
戳破	ceog3 po3	
戳印	ceog3 yant3	
卓越	ceog3 yeud6	
窗	ceong1	窗户
枪靶	ceong1 ba2	
枪把	ceong1 ba2	
枪毙	ceong1 bay6	
锵锵	ceong1 ceong1	
枪弹	ceong1 dan2	
枪击	ceong1 gek1	
娼妓	ceong1 gey6	
枪杆	ceong1 gon2	
枪管	ceong1 gun2	
枪械	ceong1 hai6	
窗口	ceong1 haw2	窗户
枪口	ceong1 haw2	
枪战	ceong1 jin3	
猖獗	ceong1 keud3	
枪决	ceong1 keud3	
窗框	ceong1 kuang1	
猖狂	ceong1 kuong4	
枪林弹雨	ceong1 lamp4 dan2 yeu5	
窗櫺	ceong1 lenk4	
窗帘	ceong1 lim4	
窗幔	ceong1 man6	
枪案	ceong1 on3	
枪炮	ceong1 pau3	
枪炮声	ceong1 pau3 senk1	
枪杀	ceong1 sad3	
枪杀	ceong1 sad3	
枪手	ceong1 saw2	
枪声	ceong1 senk1	
昌盛	ceong1 senk6	
枪伤	ceong1 seong1	
枪托	ceong1 tog3	
枪膛	ceong1 tong4	
窗帷	ceong1 way4	
鲳鱼	ceong1 yeu4	
抢夺	ceong2 deud6	
抢翻	ceong2 fan1	抢回
抢匪	ceong2 fey2	
抢救	ceong2 gaw3	
抢镜头	ceong2 geng3 taw4	
抢劫	ceong2 gib3	
抢劫犯	ceong2 gib3 fan2	
抢攻	ceong2 gonk1	
抢光	ceong2 guong1	
抢去	ceong2 hoy3	
抢走	ceong2 jaw2	
抢占	ceong2 jim3	
抢购	ceong2 kaw3	
抢购一空	ceong2 kaw3 yat1 honk1	
抢掠	ceong2 leog6	
抢眼	ceong2 ngan5	
抢眼	ceong2 ngan5	显眼
抢案	ceong2 on3	
抢修	ceong2 saw1	
抢手	ceong2 saw2	
抢手	ceong2 saw2	畅销
抢手货	ceong2 saw2 fo3	热门货，畅销货
抢上风	ceong2 seong6 fonk1	
抢先	ceong2 sin1	
抢先一步	ceong2 sin1 yat1 bow6	
抢滩	ceong2 tan1	
抢人	ceong2 yant4	
唱	ceong3	胡说，批评，贬损，背后议论，到处说某人的坏话
畅	ceong3	破开
畅钱	ceong3 cin2	找零钱给别人
唱碟	ceong3 dib2	专辑，唱片，音乐专辑
倡导	ceong3 dow6	
倡导者	ceong3 dow6 je2	
唱反调	ceong3 fan2 diu6	
唱歌	ceong3 go1	
唱高调	ceong3 gow1 diu6	
唱K	ceong3 key1	唱卡拉OK
畅唔开	ceong3 m4 hoi1	破不开，找不开
怅惘	ceong3 mong5	
唱片	ceong3 pin2	
畅散纸	ceong3 san2 ji2	破零票，换零票
唱诗班	ceong3 si1 ban1	
畅销	ceong3 siu1	
畅销书	ceong3 siu1 seu1	
唱衰	ceong3 soy1	到处说人坏话，到处说别人的不是，到处去诋毁别人，背后议论他人
唱衰佢	ceong3 soy1 koy5	到处说他的不是，到处说他的坏话，到处诋毁他
倡议	ceong3 yi5	
倡言	ceong3 yin4	
墙	ceong4	墙壁，墙
长板凳	ceong4 ban2 dank3	
墙壁	ceong4 bek1	
长柄	ceong4 beng3	
长臂猿	ceong4 bey3 yeun4	
详备	ceong4 bey6	
长波	ceong4 bo1	
详查	ceong4 ca4	
长程	ceong4 cenk4	
详情	ceong4 cenk4	
长程飞弹	ceong4 cenk4 fey1 dan6	
长枪	ceong4 ceong1	
长存	ceong4 ceun4	
长春藤	ceong4 cont1 tank4	
长达	ceong4 dad6	
长凳	ceong4 dank3	
长笛	ceong4 deg6	
长短	ceong4 deun2	
长度	ceong4 dow6	
肠道	ceong4 dow6	
长方形	ceong4 fong1 yenk4	
长裤	ceong4 fu3	
长假	ceong4 ga3	
长久	ceong4 gaw2	
长颈鹿	ceong4 geng2 lok6	
长径	ceong4 genk3	
长剑	ceong4 gim3	
墙旮旯	ceong4 go1 lo1	
长江	ceong4 gong1	
长江后浪推前浪	ceong4 gong1 haw6 long6 toy1 cin4 long6	
肠管	ceong4 gun2	
场合	ceong4 hab6	
长气	ceong4 hey3	啰唆，健谈，唠叨，絮叨
长气袋	ceong4 hey3 doi6	很啰嗦的人，唠叨不休的人
长吁短叹	ceong4 hoy1 deun2 tan3	
长袖	ceong4 jaw6	
长征	ceong4 jenk1	
长征军	ceong4 jenk1 guant1	
详尽	ceong4 jont6	
长期	ceong4 key4	
长期投资	ceong4 key4 taw4 ji1	
长裙	ceong4 kuant4	
详略	ceong4 leog6	
长袜	ceong4 mat6	
长矛	ceong4 mau4	
长命	ceong4 menk6	
蔷薇	ceong4 mey4	
长尾	ceong4 mey5	
长眠	ceong4 min4	
场面	ceong4 min6	
长年	ceong4 nin4	
长跑	ceong4 pau2	
长篇	ceong4 pin1	
长篇大论	ceong4 pin1 dai6 lont6	
长篇小说	ceong4 pin1 siu2 seud3	
长袍	ceong4 pow4	
长袍马褂	ceong4 pow4 ma5 gua3	
长生不老	ceong4 sank1 bat1 low5	
详实	ceong4 sat6	
翔实	ceong4 sat6	
长寿	ceong4 saw6	
详细	ceong4 say3	
长射程	ceong4 se6 cenk4	
详悉	ceong4 sek1	
场所	ceong4 so2	
详述	ceong4 sot6	
长须鲸	ceong4 sow1 kenk4	
祥瑞	ceong4 soy6	
长叹	ceong4 tan3	
长叹一声	ceong4 tan3 yat1 senk1	
长条	ceong4 tiu4	
长条形	ceong4 tiu4 yenk4	
长统靴	ceong4 tonk2 heo1	
长统袜	ceong4 tonk2 mat6	
长途跋涉	ceong4 tow4 bat6 sib3	
长途电话	ceong4 tow4 din6 wa2	
长途飞行	ceong4 tow4 fey1 hank4	
长途旅行	ceong4 tow4 loy5 hank4	
长话短说	ceong4 wa2 deun2 seud3	
祥云	ceong4 want4	
肠胃	ceong4 way6	
肠胃炎	ceong4 way6 yim4	
长揖	ceong4 yap1	
长形	ceong4 yenk4	
长圆	ceong4 yeun4	
长远	ceong4 yeun5	
长椅	ceong4 yi2	
肠炎	ceong4 yim4	
橱柜	ceu1 guay6	
贮藏	ceu2 cong4	
处所	ceu3 so2	
橱窗	ceu4 ceong1	
厨房	ceu4 fong2	
厨师	ceu4 si1	
储备	ceu5 bey6	
储备量	ceu5 bey6 leong6	
储存	ceu5 ceun4	
储存库	ceu5 ceun4 fu3	
储存器	ceu5 ceun4 hey3	
储存区	ceu5 ceun4 koy1	
储存量	ceu5 ceun4 leong6	
储存室	ceu5 ceun4 sat1	
储蓄	ceu5 cok1	
储蓄存款	ceu5 cok1 ceun4 fun2	
储蓄金	ceu5 cok1 gamp1	
储蓄机构	ceu5 cok1 gey1 kaw3	
储蓄银行	ceu5 cok1 ngant4 hong4	
储藏	ceu5 cong4	
储藏量	ceu5 cong4 leong6	
储藏室	ceu5 cong4 sat1	
储藏所	ceu5 cong4 so2	
柱趸	ceu5 dant2	柱石
储电量	ceu5 din6 leong6	
处分	ceu5 fant1	
处罚	ceu5 fat6	
储金	ceu5 gamp1	
储君	ceu5 guant1	
曙光	ceu5 guong1	
曙曦	ceu5 hey1	
伫立	ceu5 lab6	
储量	ceu5 leong6	
处理	ceu5 ley5	
署名	ceu5 menk4	
储水	ceu5 soy2	
储水量	ceu5 soy2 leong6	
储位	ceu5 way6	
踅身离去	ceud3 sant1 ley4 hoy3	
穿煲	ceun1 bow1	暴露，兜底儿，露馅儿
穿插	ceun1 cab3	
村夫	ceun1 fu1	
村妇	ceun1 fu5	
穿孔机	ceun1 honk2 gey1	
村镇	ceun1 jant3	
穿着	ceun1 jeog3	
村长	ceun1 jeong2	
穿咗窿	ceun1 jo2 lonk1	穿了孔
村庄	ceun1 jong1	
川流不息	ceun1 law4 bat1 sek1	
村里	ceun1 ley5	
村落	ceun1 log6	
村民	ceun1 mant4	
村女	ceun1 noy5	
村舍	ceun1 se3	
穿梭	ceun1 so1	
穿梭机	ceun1 so1 gey1	航天飞机，太空梭
村人	ceun1 yant4	
忖度	ceun2 dow6	
喘气	ceun2 hey3	
喘息	ceun2 sek1	
串	ceun3	拼
串	ceun3	嚣张
寸步	ceun3 bow6	
寸步不离	ceun3 bow6 bat1 ley4	
寸步不让	ceun3 bow6 bat1 yeong6	
寸步难行	ceun3 bow6 nan4 hang4	
寸步难移	ceun3 bow6 nan4 yi4	
寸肠	ceun3 ceong4	
寸长	ceun3 ceong4	
窜出	ceun3 cot1	
寸草	ceun3 cow2	
寸草不留	ceun3 cow2 bat1 law4	
寸草不生	ceun3 cow2 bat1 sank1	
寸草春晖	ceun3 cow2 fay1	
寸断	ceun3 deun6	
窜改	ceun3 goi2	
串供	ceun3 gonk1	
串仔	ceun3 jay2	流氓，阿飞，不良少年
串联	ceun3 leun4	
寸缕	ceun3 loy5	
串门	ceun3 mun4	
串女	ceun3 noy2	女流氓，流氓女生
寸心	ceun3 samp1	
寸丝不挂	ceun3 si1 bat1 gua3	
串通	ceun3 tonk1	
寸土	ceun3 tow2	
寸土必争	ceun3 tow2 bid1 jank1	
寸土寸金	ceun3 tow2 ceun3 gamp1	
窜逃	ceun3 tow4	
寸阴	ceun3 yamp1	
串演	ceun3 yin2	
传播	ceun4 bo3	
传播界	ceun4 bo3 gai3	
传播学	ceun4 bo3 hog6	
传播媒介	ceun4 bo3 mui4 gai3	
传播媒体	ceun4 bo3 mui4 tay2	
全部	ceun4 bow6	
存簿	ceun4 bow6	
全称	ceun4 cenk1	
全程	ceun4 cenk4	
全场	ceun4 ceong4	
存贮	ceun4 ceu2	
存储	ceun4 ceu5	
存钱	ceun4 cin4	
全速	ceun4 cok1	
全速前进	ceun4 cok1 cin4 jont3	
存取	ceun4 coy2	
传达	ceun4 dad6	
传单	ceun4 dan1	
传递	ceun4 day6	
存档	ceun4 dong3	
传动	ceun4 donk6	
传动带	ceun4 donk6 dai3	
传动装置	ceun4 donk6 jong1 ji3	
传动力	ceun4 donk6 lek6	
传导	ceun4 dow6	
传导性	ceun4 dow6 senk3	
传导体	ceun4 dow6 tay2	
存废	ceun4 fay3	
存货	ceun4 fo3	
存货量	ceun4 fo3 leong6	
存放	ceun4 fong3	
全副	ceun4 fu3	
全副武装	ceun4 fu3 mow5 jong1	
存款	ceun4 fun2	
存款簿	ceun4 fun2 bow6	
存款单	ceun4 fun2 dan1	
全家	ceun4 ga1	
全家福	ceun4 ga1 fok1	
传家之宝	ceun4 ga1 ji1 bow2	
传感器	ceun4 gamp2 hey3	
传教	ceun4 gau3	
传教士	ceun4 gau3 si6	
全军覆没	ceun4 guant1 fok1 mud6	
全国	ceun4 guog3	
全国各地	ceun4 guog3 gog3 dey6	
全国人民	ceun4 guog3 yant4 mant4	
全校师生	ceun4 hau6 si1 sank1	
传开	ceun4 hoi1	
全开	ceun4 hoi1	
全集	ceun4 jab6	
传真	ceun4 jant1	
传真机	ceun4 jant1 gey1	
全职	ceun4 jek1	
存折簿	ceun4 jib3 bow2	
存在	ceun4 joi6	
存在主义	ceun4 joi6 jeu2 yi6	
传宗接代	ceun4 jonk1 jib3 doi6	
传颂	ceun4 jonk6	
传颂千古	ceun4 jonk6 cin1 gu2	
全靠	ceun4 kau3	
全球	ceun4 kaw4	
传球	ceun4 kaw4	
全球化	ceun4 kaw4 fa3	
传球法	ceun4 kaw4 fad3	
全球性	ceun4 kaw4 senk3	
全权	ceun4 keun4	
全权代表	ceun4 keun4 doi6 biu2	
传奇	ceun4 key4	
存留	ceun4 law4	
全力	ceun4 lek6	
全力支持	ceun4 lek6 ji1 ci4	
全力以赴	ceun4 lek6 yi5 fu6	
存量	ceun4 leong6	
全垒打	ceun4 loy5 da2	
全民	ceun4 mant4	
传闻	ceun4 mant4	
全文	ceun4 mant4	
传问	ceun4 mant6	
全名	ceun4 menk4	
全面	ceun4 min6	
存亡	ceun4 mong4	
传媒	ceun4 mui4	
全能	ceun4 nank4	
全额	ceun4 ngag6	
全年	ceun4 nin4	
传遍	ceun4 pin3	
传票	ceun4 piu3	
全盘	ceun4 pun4	
全盘接受	ceun4 pun4 jib3 saw6	
存心	ceun4 samp1	
全心	ceun4 samp1	
存心不良	ceun4 samp1 bat1 leong4	
全心全意	ceun4 samp1 ceun4 yi3	
全心投入	ceun4 samp1 taw4 yap6	
传审	ceun4 samp2	
全新	ceun4 sant1	
全身	ceun4 sant1	
全身上下	ceun4 sant1 seong6 ha6	
全身而退	ceun4 sant1 yi4 toy3	
传神	ceun4 sant4	
全神贯注	ceun4 sant4 gun3 jeu3	
传授	ceun4 saw6	
传授法	ceun4 saw6 fad3	
全世界	ceun4 say3 gai3	
诠释	ceun4 sek1	
全息	ceun4 sek1	
全胜	ceun4 senk3	
全城	ceun4 senk4	
传承	ceun4 senk4	
全盛	ceun4 senk6	
传说	ceun4 seud3	
传说中	ceun4 seud3 jonk1	
传说人物	ceun4 seud3 yant4 mat6	
全线	ceun4 sin3	
传销	ceun4 siu1	
传送	ceun4 sonk3	
传讯	ceun4 sont3	
传信	ceun4 sont3	
传信鸽	ceun4 sont3 gap3	
泉水	ceun4 soy2	
全体大哗	ceun4 tay2 dai6 wa1	
全体师生	ceun4 tay2 si1 sank1	
传统	ceun4 tonk2	
传统教育	ceun4 tonk2 gau3 yok6	
传统观念	ceun4 tonk2 gun1 nim6	
全套	ceun4 tow3	
传话	ceun4 wa2	
传为佳话	ceun4 way4 gai1 wa2	
全域	ceun4 wek6	
存户	ceun4 wu6	
存活	ceun4 wud6	
存活率	ceun4 wud6 lot6	
传唤	ceun4 wun6	
全音	ceun4 yamp1	
全音符	ceun4 yamp1 fu4	
存入	ceun4 yap6	
全日	ceun4 yat6	
全日制	ceun4 yat6 jay3	
痊癒	ceun4 yeu6	
存疑	ceun4 yi4	
传热	ceun4 yid6	
传染	ceun4 yim5	
传染病	ceun4 yim5 beng6	
传染性	ceun4 yim5 senk3	
全然	ceun4 yin4	
传言	ceun4 yin4	
全然不知	ceun4 yin4 bat1 ji1	
全然不同	ceun4 yin4 bat1 tonk4	
黐	ci1	粘，黏，缠
哧哧	ci1 ci1	
黐黐哋	ci1 ci1 dey2	疯疯癫癫，神经病
黐筋	ci1 gant1	神经病
鸱鸮	ci1 hiu1	
黐立立	ci1 lap6 lap6	黏黏的
黐脷根	ci1 ley6 gant1	说话有点儿大舌头，说话含糊不清
黐孖筋	ci1 ma1 gant1	神经病
黐埋一笪	ci1 mai4 yat1 dad3	粘在一块儿
魑魅	ci1 mey6	
魑魅魍魉	ci1 mey6 mong5 leong5	
黐牙	ci1 nga4	黏牙，塞牙缝
雌性动物	ci1 senk3 donk6 mat6	
黐线	ci1 sin6	神经病，发疯，神经失常
黐线佬	ci1 sin6 low2	神经汉，疯子
鸱鸺	ci1 yaw1	
蚩尤	ci1 yaw4	
雌蕊	ci1 yoy5	
褫夺公权	ci2 deud6 gonk1 keun4	
此地无银三百两	ci2 dey6 mow4 ngant4 sam1 bag3 leong2	
此风不可长	ci2 fonk1 bat1 ho2 ceong4	
齿垢	ci2 gaw3	
耻骨	ci2 guat1	
此刻	ci2 hak1	
矢口否认	ci2 haw2 faw2 yenk6	
此后	ci2 haw6	
此起彼伏	ci2 hey2 bey2 fok6	
此起彼落	ci2 hey2 bey2 log6	
齿腔	ci2 hong1	
褫职	ci2 jek1	
矢志	ci2 ji3	
矢志不移	ci2 ji3 bat1 yi4	
始作俑者	ci2 jog3 yonk2 je2	
齿状	ci2 jong6	
始终	ci2 jonk1	
始终不渝	ci2 jonk1 bat1 yeu4	
始祖	ci2 jow2	
齿鲸	ci2 kenk4	
矢量	ci2 leong6	
齿轮	ci2 lont4	
齿轮箱	ci2 lont4 seong1	
此路不通	ci2 low6 bat1 tonk1	
此外	ci2 ngoi6	
此时	ci2 si4	
此时此刻	ci2 si4 ci2 hak1	
齿音	ci2 yamp1	
齿印	ci2 yant3	
此一时彼一时	ci2 yat1 si4 bey2 yat1 si4	
矢如雨下	ci2 yeu4 yeu5 ha6	
耻辱	ci2 yok6	
次被告	ci3 bey6 gow3	
翅膀	ci3 bong2	
次次	ci3 ci3	每次
赐教	ci3 gau3	
刺激	ci3 gek1	
厕纸	ci3 ji2	卫生纸，手纸
次序	ci3 joy6	
厕所	ci3 so2	
刺猬	ci3 way6	
炽热	ci3 yid6	
迟	ci4	晚
糍粑	ci4 ba1	
词不达意	ci4 bat1 dad6 yi6	
慈悲	ci4 bey1	
词表	ci4 biu2	
驰骋	ci4 cenk2	
慈祥	ci4 ceong4	
踟蹰	ci4 ceu4	
磁带	ci4 dai3	
脐带	ci4 dai3	
迟啲见	ci4 di1 gin3	再会
迟啲	ci4 did1	晚一点
词典	ci4 din2	
辞典	ci4 din2	
词调	ci4 diu6	
持笏	ci4 fat1	
词锋	ci4 fonk1	
词赋	ci4 fu3	
词库	ci4 fu3	
匙羹	ci4 gank1	汤匙，羹匙
持久	ci4 gaw2	
词句	ci4 goy3	
迟吓	ci4 ha5	过些时候，过些日子，再过一段时间
辞行	ci4 hank4	
瓷器	ci4 hey3	
辞职	ci4 jek1	
持续	ci4 jok6	
词组	ci4 jow2	
迟早	ci4 jow2	早晚，迟早
迟早	ci4 jow2	
词曲	ci4 kok1	
词穷	ci4 konk4	
词类	ci4 loy6	
驰马	ci4 ma5	
驰名	ci4 menk4	
驰名中外	ci4 menk4 jonk1 ngoi6	
驰名天下	ci4 menk4 tin1 ha6	
词尾	ci4 mey5	
慈母	ci4 mow5	
驰念	ci4 nim6	
慈爱	ci4 oi3	
词频	ci4 pant4	
词谱	ci4 pow2	
慈心	ci4 samp1	
词性	ci4 senk3	
词选	ci4 seun2	
慈善	ci4 sin6	
慈善家	ci4 sin6 ga1	
慈善机构	ci4 sin6 gey1 kaw3	
慈善事业	ci4 sin6 si6 yib6	
慈善活动	ci4 sin6 wud6 donk6	
词素	ci4 sow3	
词头	ci4 taw4	
磁铁	ci4 tid3	
词条	ci4 tiu4	
池塘	ci4 tong4	
祠堂	ci4 tong4	
词韵	ci4 want6	
驰往	ci4 wong5	
词汇	ci4 wui6	
迟缓	ci4 wun6	
词音	ci4 yamp1	
词语	ci4 yeu5	
词源	ci4 yeun4	
词义	ci4 yi6	
似	ci5	像
恃	ci5	仗，依仗，仗着
似层层	ci5 cank4 cank4	好像真有其事，很像真的，很像
恃才傲物	ci5 coi4 ngow6 mat6	
似到极	ci5 dow3 gek6	像极了
似乎	ci5 fu4	
似足	ci5 jok1	很像，像极了，十分像
始终不变	ci5 jonk1 bat1 bin3	
始终如一	ci5 jonk1 yeu4 yat1	
恃强欺弱	ci5 keong4 hey1 yeog6	
恃强凌弱	ci5 keong4 lenk4 yeog6	
恃老卖老	ci5 low5 mai6 low5	倚老卖老
似模似样	ci5 mow4 ci5 yeong6	像个样子，很相象，像模像样的
似样	ci5 yeong6	像样，像话
cheap	cib1	低贱，没有身份，便宜
cheap嘢	cib1 ye5	便宜货
妾侍	cib3 si6	小老婆
设备	cid3 bey6	
切磋	cid3 co1	
切菜	cid3 coi3	
切菜刀	cid3 coi3 dow1	
切除	cid3 coy4	
彻底	cid3 day2	
设定	cid3 denk6	
切腹自杀	cid3 fok1 ji6 sad3	
切肤之痛	cid3 fu1 ji1 tonk3	
设计	cid3 gay3	
切忌	cid3 gey6	
切割	cid3 god3	
切割机	cid3 god3 gey1	
切合	cid3 hab6	
切合实际	cid3 hab6 sat6 jay3	
切合需要	cid3 hab6 soy1 yiu3	
切口	cid3 haw2	
切开	cid3 hoi1	
撤离	cid3 ley4	
切勿	cid3 mat6	
切面	cid3 min6	
切莫	cid3 mog6	
切奶	cid3 nai5	断奶
切片	cid3 pin3	
切身	cid3 sant1	
切身经验	cid3 sant1 genk1 yim6	
切身利益	cid3 sant1 ley6 yek1	
切实	cid3 sat6	
切实可行	cid3 sat6 ho2 hank4	
切实有效	cid3 sat6 yaw5 hau6	
切削	cid3 seog3	
切削速度	cid3 seog3 cok1 dow6	
切削力	cid3 seog3 lek6	
切削用量	cid3 seog3 yonk6 leong6	
撤销	cid3 siu1	
切餸	cid3 sonk3	切菜
切碎	cid3 soy3	
切题	cid3 tay4	
切断	cid3 teun5	
撤退	cid3 toy3	
切换	cid3 wun6	
切入	cid3 yap6	
切肉	cid3 yok6	
切肉刀	cid3 yok6 dow1	
签	cim1	剔
签署	cim1 ceu5	
纤巧	cim1 hau2	
签证	cim1 jenk3	
签注	cim1 jeu3	
纤指	cim1 ji2	
签名	cim1 menk4	
歼灭	cim1 mid6	
签牙	cim1 nga4	剔牙缝
纤手	cim1 saw2	
纤细	cim1 say3	
纤维	cim1 way4	
纤维板	cim1 way4 ban2	
纤维工业	cim1 way4 gonk1 yib6	
纤维素	cim1 way4 sow3	
纤纤玉手	cim1 way4 yok6 saw2	
签约	cim1 yeog3	
纤弱	cim1 yeog6	
纤腰	cim1 yiu1	
谄媚	cim2 mey6	
谄谀	cim2 yeu4	
堑壕	cim3 how4	
僭越	cim3 yeud6	
撍	cim4	抽，拔，抽取，拔出
撍出嚟	cim4 cot1 ley4	抽出来
撍猪毛	cim4 jeu1 mow4	拔猪毛
潜在	cim4 joi6	
潜力	cim4 lek6	
潜水	cim4 soy2	
潜水艇	cim4 soy2 teng5	
潜意识	cim4 yi3 sek1	
僭建	cim5 gin3	违章建筑
千百万	cin1 bag3 man6	
千变万化	cin1 bin3 man6 fa3	
千层糕	cin1 cank4 gow1	
千秋	cin1 caw1	秋千
千千万万	cin1 cin1 man6 man6	
千疮百孔	cin1 cong1 bag3 honk2	
千叮万嘱	cin1 denk1 man6 jok1	
千刀万剐	cin1 dow1 man6 wa2	
千方百计	cin1 fong1 bag3 gay3	
千呼万唤	cin1 fu1 man6 wun6	
千夫所指	cin1 fu1 so2 ji2	
千家万户	cin1 ga1 man6 wu6	
千金小姐	cin1 gamp1 siu2 je2	
千斤	cin1 gant1	
千斤重担	cin1 gant1 conk5 dam1	
千娇百媚	cin1 giu1 bag3 mey6	
千古	cin1 gu2	
千古恨	cin1 gu2 hant6	
千古遗恨	cin1 gu2 way4 hant6	
千军万马	cin1 guant1 man6 ma5	
千钧一发	cin1 guant1 yat1 fad3	
千克	cin1 hak1	
千禧	cin1 hey1	
千禧虫	cin1 hey1 conk4	
千禧年	cin1 hey1 nin4	
千红万紫	cin1 honk4 man6 ji2	
千真万确	cin1 jant1 man6 kog3	
千字文	cin1 ji6 mant4	
千载难逢	cin1 joi2 nan4 fonk4	
千载一时	cin1 joi2 yat1 si4	
千祈	cin1 key4	千万
千奇百怪	cin1 key4 bag3 guai3	
千祈唔好	cin1 key4 mow2	千万不要，千万别
千里马	cin1 ley5 ma5	
千里目	cin1 ley5 mok6	
千里眼	cin1 ley5 ngan5	
千里送鹅毛	cin1 ley5 sonk3 ngo4 mow4	
千里迢迢	cin1 ley5 tiu4 tiu4	
千虑一得	cin1 loy6 yat1 dak1	
千虑一失	cin1 loy6 yat1 sat1	
阡陌	cin1 mak6	
千万	cin1 man6	
千万富翁	cin1 man6 fu3 yonk1	
千米	cin1 may5	
千面人	cin1 min6 yant4	
千瓦	cin1 nga5	
千篇一律	cin1 pin1 yat1 lot6	
千山万水	cin1 san1 man5 soy2	
千辛万苦	cin1 sant1 man6 fu2	
千丝万缕	cin1 si1 man6 loy5	
迁入	cin1 yap6	
千亿	cin1 yek1	
千言万语	cin1 yin4 man6 yeu5	
浅薄	cin2 bog6	
浅浅	cin2 cin2	
浅淡	cin2 dam6	
浅耕	cin2 gang1	
浅见	cin2 gin3	
浅显	cin2 hin2	
浅显易懂	cin2 hin2 yi6 donk2	
浅海	cin2 hoi2	
浅斟低唱	cin2 jamp1 day1 ceong3	
浅紫	cin2 ji2	
浅紫色	cin2 ji2 sek1	
浅蓝	cin2 lam4	
浅蓝色	cin2 lam4 sek1	
浅陋	cin2 law6	
浅绿	cin2 lok6	
浅绿色	cin2 lok6 sek1	
浅色	cin2 sek1	
浅尝辄止	cin2 seong4 jib3 ji2	
浅笑	cin2 siu3	
浅水	cin2 soy2	
浅水湾	cin2 soy2 wan1	
浅滩	cin2 tan1	
浅易	cin2 yi6	
前便	cin4 bin6	前面，前边
前辈	cin4 bui3	
前尘	cin4 cant4	
前妻	cin4 cay1	
前车之覆，后车之鉴	cin4 ce1 ji1 fok6 haw6 ce1 ji1 gam3	
前车之鉴	cin4 ce1 ji1 gam3	
前清	cin4 cenk1	
前程	cin4 cenk4	
前程似锦	cin4 cenk4 ci5 gamp2	
前程万里	cin4 cenk4 man6 ley5	
前场	cin4 ceong4	
前次	cin4 ci3	
前前后后	cin4 cin4 haw6 haw6	
前菜	cin4 coi3	
前舱	cin4 cong1	
前端	cin4 deun1	
前段	cin4 deun6	
前科	cin4 fo1	
前方	cin4 fong1	
前锋	cin4 fonk1	
前夫	cin4 fu1	
前呼后拥	cin4 fu1 haw6 yonk2	
