开放粤语词典（粤语拼音字数字调号版）

© 2013年 kaifangcidian.com
网址：http://www.kaifangcidian.com
本词典以创作共用“署名 3.0”许可协议授权发布（详见 http://creativecommons.org/licenses/by/3.0/）
最后更新于2013年1月22日

［粤语词汇］	［粤语拼音］	［国语解释］
奔走	bant1 jaw2	
宾仔	bant1 jay2	菲律宾少年
槟榔	bant1 long4	
槟榔汁	bant1 long4 jap1	
宾佬	bant1 low2	菲律宾人
奔马	bant1 ma5	
奔命	bant1 menk6	
宾妹	bant1 mui1	菲律宾少女；菲佣，菲籍女佣
奔跑	bant1 pau2	
宾婆	bant1 po2	菲律宾人
奔丧	bant1 song1	
奔腾	bant1 tank4	
奔逃	bant1 tow4	
奔跃	bant1 yeog6	
品茶	bant2 ca4	
品德	bant2 dak1	
品格	bant2 gag3	
品格高尚	bant2 gag3 gow1 seong6	
品管	bant2 gun2	
品行	bant2 hank6	
品学	bant2 hog6	
品学兼优	bant2 hog6 gim1 yaw1	
品红	bant2 honk4	
品质	bant2 jat1	
品质管制	bant2 jat1 gun2 jay3	
品种	bant2 jonk2	
品种改良	bant2 jonk2 goi2 leong4	
品级	bant2 kap1	
品蓝	bant2 lam4	
品绿	bant2 lok6	
品类	bant2 loy6	
品貌	bant2 mau6	
品貌出众	bant2 mau6 cot1 jonk3	
品貌双全	bant2 mau6 seong1 ceun4	
品茗	bant2 menk5	
品味	bant2 mey6	
品目	bant2 mok6	
品牌	bant2 pai4	
品评	bant2 penk4	
品性	bant2 senk3	
品嚐	bant2 seong4	
品头论足	bant2 taw4 lont6 jok1	
品位	bant2 way6	
鬓边	bant3 bin1	
鬓发	bant3 fad3	
鬓发皆白	bant3 fad3 gai1 bag6	
鬓发皓然	bant3 fad3 how6 yin4	
鬓角	bant3 gog3	
摈弃	bant3 hey3	
殡殓	bant3 lim5	
鬓霜	bant3 seong1	
殡仪馆	bant3 yi4 gun2	
笨猪跳	bant6 jeu1 tiu3	蹦极跳，高空弹跳
笨拙	bant6 jeud3	
[抔]	bat1	舀，盛
不谙	bat1 amp1	
不卑不亢	bat1 bey1 bat1 kong3	
不必	bat1 bid1	
不便	bat1 bin6	
不辩菽麦	bat1 bin6 sok6 mak6	
不吵不闹	bat1 cau2 bat1 nau6	
不请自来	bat1 cenk2 ji6 loi4	
不详	bat1 ceong4	
不耻	bat1 ci2	
不耻下问	bat1 ci2 ha6 mant6	
不切实际	bat1 cid3 sat6 jay3	
不切题	bat1 cid3 tay4	
不前不后	bat1 cin4 bat1 haw6	
不速之客	bat1 cok1 ji1 hag3	
不出所料	bat1 cot1 so2 liu6	
不打不相识	bat1 da2 bat1 seong1 sek1	
不打自招	bat1 da2 ji6 jiu1	
不大不小	bat1 dai6 bat1 siu2	
不得	bat1 dak1	
不得不	bat1 dak1 bat1	
不得好死	bat1 dak1 how2 sey2	
不得其法	bat1 dak1 key4 fad3	
不得其解	bat1 dak1 key4 gai2	
不得了	bat1 dak1 liu5	
不得人心	bat1 dak1 yant4 samp1	
不得而知	bat1 dak1 yi4 ji1	
不得已	bat1 dak1 yi5	
不得要领	bat1 dak1 yiu3 lenk5	
不特	bat1 dak6	不但，不仅，不光
不单	bat1 dan1	
不定	bat1 denk6	
不定词	bat1 denk6 ci4	
不定根	bat1 denk6 gant1	
不定冠词	bat1 denk6 gun3 ci4	
不定期	bat1 denk6 key4	
不定量	bat1 denk6 leong6	
不定形	bat1 denk6 yenk4	
不当	bat1 dong3	
不冻港	bat1 donk3 gong2	
不动产	bat1 donk6 can2	
不动声色	bat1 donk6 senk1 sek1	
不倒翁	bat1 dow2 yonk1	
不对劲	bat1 doy3 genk6	
不凡	bat1 fan4	
[抔]饭	bat1 fan6	盛饭
不分彼此	bat1 fant1 bey2 ci2	
不分青红皂白	bat1 fant1 cenk1 honk4 jow6 bag6	
不分轻重缓急	bat1 fant1 henk1 conk5 wun6 gap1	
不分轩轾	bat1 fant1 hin1 ji3	
不分昼夜	bat1 fant1 jaw3 ye6	
不分皂白	bat1 fant1 jow6 bag6	
不分男女老幼	bat1 fant1 nam4 noy5 low5 yaw3	
不乏其人	bat1 fat6 key4 yant4	
不费吹灰之力	bat1 fay3 coy1 fui1 ji1 lek6	
不慌不忙	bat1 fong1 bat1 mong4	
不妨	bat1 fong4	
不负众望	bat1 fu6 jonk3 mong6	
不假思索	bat1 ga2 si1 sag3	
不禁	bat1 gamp1	
不甘	bat1 gamp1	
不甘寂寞	bat1 gamp1 jek6 mog6	
不甘心	bat1 gamp1 samp1	
不甘示弱	bat1 gamp1 si6 yeog6	
不敢当	bat1 gamp2 dong1	
不仅	bat1 gant2	
不仅仅	bat1 gant2 gant2	
不急不徐	bat1 gap1 bat1 coy4	
不急之务	bat1 gap1 ji1 mow6	
不够	bat1 gaw3	
不计其数	bat1 gay3 key4 sow3	
不经一事，不长一智	bat1 genk1 yat1 si6 bat1 jeong2 yat1 ji3	
毕竟	bat1 genk2	
不景气	bat1 genk2 hey3	
不覊	bat1 gey1	
笔记	bat1 gey3	
笔记本	bat1 gey3 bun2	
不见不散	bat1 gin3 bat1 san3	
不见经传	bat1 gin3 genk1 ceun4	
不见棺材不掉泪	bat1 gin3 gun1 coi4 bat1 diu6 loy6	
不见天日	bat1 gin3 tin1 yat6	
笔杆	bat1 gon2	
笔供	bat1 gonk1	
毕恭毕敬	bat1 gonk1 bat1 genk3	
不公不义	bat1 gonk1 bat1 yi6	
不共戴天	bat1 gonk6 dai3 tin1	
不共戴天之仇	bat1 gonk6 dai3 tin1 ji1 saw4	
不告而别	bat1 gow3 yi4 bid6	
不关痛痒	bat1 guan1 tonk3 yeong5	
不管	bat1 gun2	
不管三七二十一	bat1 gun2 sam1 cat1 yi6 sap6 yat1	
不过	bat1 guo3	
不过如此	bat1 guo3 yeu4 ci2	
不光	bat1 guong1	
不合	bat1 hab6	
不合标准	bat1 hab6 biu1 jont2	
