開放粵語字典（教院拼音版）

© 2013年 kaifangcidian.com
網址：http://www.kaifangcidian.com
本字典以創作共用“署名 3.0”許可協議授權發佈（詳見 http://creativecommons.org/licenses/by/3.0/）
最後更新於2013年1月22日

［繁體字］	［簡體字］	［教院拼音］
井	井	dzing2/dzeng2
症	症	dzing3
證	证	dzing3
正	正	dzing3
政	政	dzing3
靖	靖	dzing6
淨	净	dzing6
靜	静	dzing6
阱	阱	dzing6/dzeng6
摺	折	dzip8
浹	浃	dzip8
囁	嗫	dzip8
輒	辄	dzip8
接	接	dzip8
褶	褶	dzip8
楫	楫	dzip8
唧	唧	dzit7
浙	浙	dzit8
節	节	dzit8
蜇	蜇	dzit8
癤	疖	dzit8
櫛	栉	dzit8
哲	哲	dzit8
婕	婕	dzit8
折	折	dzit8
截	截	dzit9
睫	睫	dzit9
捷	捷	dzit9
朝	朝	dziu1
椒	椒	dziu1
招	招	dziu1
蕉	蕉	dziu1
焦	焦	dziu1
礁	礁	dziu1
沼	沼	dziu2
剿	剿	dziu2
詔	诏	dziu3
照	照	dziu3
趙	赵	dziu6
召	召	dziu6
左	左	dzo2
俎	俎	dzo2
阻	阻	dzo2
佐	佐	dzo3
詛	诅	dzo3/dzo2
助	助	dzo6
坐	坐	dzo6
唑	唑	dzo6
座	座	dzo6
爵	爵	dzoek8
鵲	鹊	dzoek8
著	着	dzoek8
斫	斫	dzoek8
嚼	嚼	dzoek8
酌	酌	dzoek8
灼	灼	dzoek8
雀	雀	dzoek8
勺	勺	dzoek8/tsoek8
桌	桌	dzoek8/tsoek8
著	著	dzoek9
著	着	dzoek9
諄	谆	dzoen1
津	津	dzoen1
榛	榛	dzoen1
樽	樽	dzoen1
臻	臻	dzoen1
遵	遵	dzoen1/dzyn1
准	准	dzoen2
儘	尽	dzoen2
隼	隼	dzoen2
準	准	dzoen2
俊	俊	dzoen3
駿	骏	dzoen3
竣	竣	dzoen3
縉	缙	dzoen3
峻	峻	dzoen3
晉	晋	dzoen3
進	进	dzoen3
燼	烬	dzoen6
盡	尽	dzoen6
蟑	蟑	dzoeng1
漳	漳	dzoeng1
章	章	dzoeng1
將	将	dzoeng1
張	张	dzoeng1
璋	璋	dzoeng1
樟	樟	dzoeng1
獐	獐	dzoeng1
嫜	嫜	dzoeng1
鄣	鄣	dzoeng1
漿	浆	dzoeng1
彰	彰	dzoeng1
槳	桨	dzoeng2
掌	掌	dzoeng2
長	长	dzoeng2
獎	奖	dzoeng2
蔣	蒋	dzoeng2
漲	涨	dzoeng2/dzoeng3
脹	胀	dzoeng3
仗	仗	dzoeng3
將	将	dzoeng3
賬	账	dzoeng3
嶂	嶂	dzoeng3
幛	幛	dzoeng3
醬	酱	dzoeng3
漲	涨	dzoeng3
帳	帐	dzoeng3
瘴	瘴	dzoeng3
障	障	dzoeng3
橡	橡	dzoeng6
像	像	dzoeng6
象	象	dzoeng6
丈	丈	dzoeng6
匠	匠	dzoeng6
杖	杖	dzoeng6
仗	仗	dzoeng6
卒	卒	dzoet7
黜	黜	dzoet7
怵	怵	dzoet7
錐	锥	dzoey1
追	追	dzoey1
狙	狙	dzoey1
椎	椎	dzoey1
蛆	蛆	dzoey1/tsoey1
咀	咀	dzoey2
沮	沮	dzoey2
齟	龃	dzoey2
嘴	嘴	dzoey2
惴	惴	dzoey3
醉	醉	dzoey3
最	最	dzoey3
贅	赘	dzoey3
敘	叙	dzoey6
罪	罪	dzoey6
序	序	dzoey6
嶼	屿	dzoey6
墜	坠	dzoey6
漵	溆	dzoey6
聚	聚	dzoey6
綴	缀	dzoey6/dzoey3
栽	栽	dzoi1
災	灾	dzoi1
哉	哉	dzoi1
崽	崽	dzoi2
載	载	dzoi2
宰	宰	dzoi2
載	载	dzoi3
再	再	dzoi3
在	在	dzoi6
作	作	dzok8
昨	昨	dzok8/dzok9
擢	擢	dzok9
鑿	凿	dzok9
莊	庄	dzong1
裝	装	dzong1
髒	脏	dzong1
贓	赃	dzong1
樁	桩	dzong1
妝	妆	dzong1
駔	驵	dzong2
葬	葬	dzong3
壯	壮	dzong3
戇	戆	dzong3/ngong6
藏	藏	dzong6
狀	状	dzong6
撞	撞	dzong6
奘	奘	dzong6
臟	脏	dzong6
糟	糟	dzou1
租	租	dzou1
遭	遭	dzou1
駔	驵	dzou2
祖	祖	dzou2
棗	枣	dzou2
組	组	dzou2
藻	藻	dzou2
澡	澡	dzou2
早	早	dzou2
蚤	蚤	dzou2
灶	灶	dzou3
造	造	dzou6
皂	皂	dzou6
做	做	dzou6
慥	慥	dzou6/tsou3
囑	嘱	dzuk7
粥	粥	dzuk7
竹	竹	dzuk7
矚	瞩	dzuk7
足	足	dzuk7
祝	祝	dzuk7
燭	烛	dzuk7
築	筑	dzuk7
竺	竺	dzuk7
捉	捉	dzuk7
鏃	镞	dzuk9
躅	躅	dzuk9
俗	俗	dzuk9
妯	妯	dzuk9
續	续	dzuk9
軸	轴	dzuk9
濁	浊	dzuk9
逐	逐	dzuk9
族	族	dzuk9
鐲	镯	dzuk9
盅	盅	dzung1
鍾	钟	dzung1
棕	棕	dzung1
宗	宗	dzung1
忠	忠	dzung1
縱	纵	dzung1
終	终	dzung1
中	中	dzung1
鬃	鬃	dzung1
螽	螽	dzung1
樅	枞	dzung1
蹤	踪	dzung1
鐘	钟	dzung1
綜	综	dzung1/dzung3
衷	衷	dzung1/tsung1
總	总	dzung2
種	种	dzung2
腫	肿	dzung2
中	中	dzung3
縱	纵	dzung3
眾	众	dzung3
種	种	dzung3
粽	粽	dzung3/dzung2
訟	讼	dzung6
重	重	dzung6
仲	仲	dzung6
誦	诵	dzung6
頌	颂	dzung6
株	株	dzy1
豬	猪	dzy1
珠	珠	dzy1
茱	茱	dzy1
誅	诛	dzy1
蛛	蛛	dzy1
朱	朱	dzy1
諸	诸	dzy1
侏	侏	dzy1
銖	铢	dzy1
主	主	dzy2
煮	煮	dzy2
蛀	蛀	dzy3
駐	驻	dzy3
注	注	dzy3
炷	炷	dzy3
註	注	dzy3
著	著	dzy3
著	著	dzy3
箸	箸	dzy6
住	住	dzy6
專	专	dzyn1
磚	砖	dzyn1
顓	颛	dzyn1
尊	尊	dzyn1
鐫	镌	dzyn1/dzoen3
鱒	鳟	dzyn1/dzyn3
傳	传	dzyn2
轉	转	dzyn2
纂	纂	dzyn2
鑽	钻	dzyn3
轉	转	dzyn3
鑽	钻	dzyn3/dzyn1
傳	传	dzyn6
啜	啜	dzyt8
輟	辍	dzyt8
拙	拙	dzyt8
咄	咄	dzyt8
茁	茁	dzyt8
掇	掇	dzyt8
絕	绝	dzyt9
欸	欸	ei1
欸	欸	ei2
欸	欸	ei4
欸	欸	ei6
花	花	faa1
化	化	faa3
塊	块	faai3
傀	傀	faai3
筷	筷	faai3
噲	哙	faai3
快	快	faai3
番	番	faan1
幡	幡	faan1
旛	旛	faan1
翻	翻	faan1
反	反	faan2
犯	犯	faan2
返	返	faan2
販	贩	faan3/faan2
泛	泛	faan3/faan6
釩	钒	faan4
藩	藩	faan4
樊	樊	faan4
礬	矾	faan4
煩	烦	faan4
繁	繁	faan4
帆	帆	faan4
凡	凡	faan4
蕃	蕃	faan4
梵	梵	faan4/faan6
瓣	瓣	faan6
范	范	faan6
犯	犯	faan6
範	范	faan6
飯	饭	faan6
法	法	faat8
琺	珐	faat8
髮	发	faat8
發	发	faat8
暉	晖	fai1
徽	徽	fai1
撝	撝	fai1
揮	挥	fai1
輝	辉	fai1
狒	狒	fai3
費	费	fai3
肺	肺	fai3
沸	沸	fai3
廢	废	fai3
吠	吠	fai6
酚	酚	fan1
熏	熏	fan1
燻	熏	fan1
醺	醺	fan1
葷	荤	fan1
昏	昏	fan1
分	分	fan1
芬	芬	fan1
吩	吩	fan1
勳	勋	fan1
氛	氛	fan1
